"AllY1","AllY2","AllY3","pop.never.s1","pop.never.s2","sace.diff1","sace.diff2","ace.diff1","ace.diff2","ci1.L","ci1.H","ci2.L","ci2.H","ace.or1","ace.or2","sace.or1","sace.or2","betaE","betaU"
49447,146,407,0.99428,0.98334,0.00022372729676409,0,0.000653208119781814,-0.000887982235913358,-0.103444027262415,0.550282092247214,-0.305200546769064,0.0856293752111226,1.25034438052022,0.89602629163895,1.25291018257566,0.900477486581727,1,2
49383,169,448,0.9935,0.9826,-0.000386729086098107,0.000805234021137393,-0.000508460829947125,0.00154933377811497,-0.45280129630334,0.153114575081544,-0.0124123194953727,0.361003264972088,0.860795602790002,1.19041733361447,0.890064225406618,1.19774944027878,1,2
49428,159,413,0.99382,0.98272,0.000142461738847281,-2.01243685979352e-05,0.000350454923611872,0.000169715058692944,-0.202077004728095,0.421671406880151,-0.173084769116952,0.214333982172872,1.11601906454479,1.02086827945493,1.13124816145484,1.00624481683777,1,2
49437,151,412,0.99388,0.98314,0.000366173688386191,0.000764679840624623,0.000438252179021613,0.000944008025576516,-0.175720827901395,0.464959212009868,-0.0789536239260039,0.3095558960461,1.15559906436802,1.12221214981901,1.14273365192811,1.12252871254595,1,2
49457,143,400,0.994,0.9837,0.000182982616651418,-0.000120724346076459,-0.000427973662158184,-3.99999223721185e-05,-0.478373005439715,0.180125045397075,-0.201828217746324,0.191759398971736,0.861416930659238,0.994986554235754,0.861628864654583,0.994003115456656,1,2
49378,166,456,0.9941,0.98226,-0.000529391403498056,-0.000643798410622674,-0.000881878459817227,-0.000229782505805559,-0.574367425250713,0.040663238601868,-0.210467473298973,0.158383419317332,0.766702390631642,0.974973278130064,0.754042536725049,0.966426998972099,1,2
49422,144,434,0.99388,0.98286,-0.0001831390025029,2.0123153700648e-05,-0.000836567431768708,-1.54525425213876e-05,-0.620926873886068,0.0397424831007988,-0.190784248401347,0.187200394955948,0.747820564292494,0.998210902575615,0.74193188276366,1.00243481843173,1,2
49421,152,427,0.99364,0.98298,0.000569696229831736,-4.0256028340244e-05,0.000450850906146463,0.000254419196337191,-0.171459459076048,0.466804507841483,-0.160569460012032,0.220479791390782,1.1591347054342,1.03040946182466,1.17850539750701,1.04453376542554,1,2
49411,148,441,0.99386,0.9831,0.000366188587122368,0.000804942346004467,0.000313327504878245,0.00112795854369125,-0.217834895308124,0.428515370180068,-0.0590656979837169,0.316736189222949,1.11108801468932,1.13750297744831,1.11198704460708,1.12803711335313,1,2
49404,162,434,0.9934,0.98296,0.000325547326442582,-0.000845580833501107,0.000485257929583132,-0.000390816529167358,-0.160531969203819,0.458052539439288,-0.234437466133053,0.14364315777913,1.16093957557103,0.95572844835764,1.17803000597557,0.955575811488042,1,2
49402,153,445,0.99372,0.98288,0,0.000362275087549813,0.000203914346891755,0.000842936478666603,-0.251298211122725,0.383846985728907,-0.0915242596814675,0.282210118613425,1.0685188225893,1.10003591706978,1.08325257982289,1.11610103844551,1,2
49459,159,382,0.99338,0.98432,-0.000345416124837451,-0.000402665646580362,-0.000524520053752538,0.000313332101961956,-0.476963450964828,0.14786761469104,-0.160158094434851,0.242606210010423,0.848253886779966,1.04206414777672,0.837687278438156,1.04805311558516,1,2
49409,172,419,0.99322,0.98352,-0.000305026842362128,-0.000100682628219327,0.000316967123288964,-0.000289742075131341,-0.208022029470003,0.391419674313273,-0.226883486551094,0.157788334703428,1.09609584425604,0.96584512264857,1.09856443719413,0.957357577878854,1,2
49439,144,417,0.99422,0.98348,-0.000183023549029975,8.0465088209853e-05,0.000469162423193311,8.07545260299998e-05,-0.165878678878223,0.490682990863989,-0.183053422543252,0.202498936451931,1.17633288937321,1.00978408563809,1.17902348323118,1.01063099291854,1,2
49451,130,419,0.99428,0.98336,-0.000732183534005858,-0.000522991511445468,-0.00125964507960862,-0.000525420283910452,-0.8438826574584,-0.136314124564762,-0.255421668914119,0.129295132453578,0.612562064547129,0.938880173698403,0.620768042589156,0.934506604153628,1,2
49430,160,410,0.994,0.98348,0,-0.000181086519114688,-0.000113963376351342,-0.000279159046055486,-0.34593411189665,0.275065162697274,-0.228677646951871,0.160229567796895,0.965176676425415,0.966355158325812,0.952116789950925,0.965694256703656,1,2
49442,135,423,0.9942,0.98294,-0.00022381834089568,0.000442566887950111,-0.000249113519644452,0.000856329016156348,-0.430188678645583,0.246427983854465,-0.0897658490680107,0.293443904719094,0.912266583671647,1.10723816246843,0.92394962932293,1.10797770760796,1,2
49439,140,421,0.99364,0.9837,0.000101657009250788,-4.0256028340244e-05,0.000173775688373071,-0.000319692072539094,-0.270178679722474,0.393629018118338,-0.230094491928148,0.153713896525537,1.06367480698641,0.962529502342743,1.03391307483353,0.971269558448497,1,2
49434,145,421,0.99372,0.9837,-0.000223645420351733,0.000221390331280441,-0.000312470375452357,0.000985272007869404,-0.433630009368154,0.219157120388639,-0.0744130882284234,0.310093881755486,0.898321796522859,1.12506659780807,0.885624655650324,1.11511709688046,1,2
49404,170,426,0.99336,0.98326,-0.000162723999755914,-0.000644278005959572,-0.000155287751134191,-0.000941316412238305,-0.346698705639912,0.25580167082531,-0.30221856750326,0.0798664912416526,0.955569091720245,0.894781082030089,0.989889363377924,0.89857457109799,1,2
49407,175,418,0.9936,0.9826,-0.000569916547934052,-0.000402576489533011,-0.000502748260234636,-0.0017841878844215,-0.440887538538259,0.154448784759897,-0.409072944923611,-0.0216540071771557,0.866564374787312,0.806247952787429,0.875105017040501,0.810277691681944,1,2
49373,164,463,0.99364,0.98276,0.000427367821238146,-0.00148947304858903,0.000646917452276818,-0.000905877577852158,-0.11143921360524,0.504754407730385,-0.28187959129432,0.0846435542191646,1.21734987266902,0.906193686650739,1.20917709055237,0.913493859589056,1,2
49403,169,428,0.99318,0.98306,-0.000406892763412203,0.000362472059445418,-0.000257662847373116,0.000457551886173188,-0.37819959041261,0.226424792412024,-0.136618875682716,0.244083296123398,0.92692371613761,1.05521140394613,0.903684663280354,1.06614854535191,1,2
49424,143,433,0.99388,0.98264,-0.000407066677521778,-0.000704310379522679,-0.000882111875781309,-0.00150092180004853,-0.641852719013021,0.0233427287653095,-0.364995475043407,0.0151102180683448,0.733856079950561,0.839547869805607,0.721544618751412,0.842277486910995,1,2
49484,129,387,0.99392,0.98434,0.000406363654834712,0.000382324533161623,0.00034300283639236,-0.000334566541642959,-0.213968375852589,0.47887992833815,-0.243534730030727,0.156614805468439,1.14166398195876,0.957475862159192,1.14290979706127,0.946950407787451,1,2
49413,148,439,0.99312,0.98312,-6.10301896004557e-05,-0.000865957789592396,7.04657501263039e-05,-0.000307681891882523,-0.299064267582607,0.346402867218353,-0.223196297843858,0.152692100817274,1.0239515687998,0.965361335535743,1.02576655296905,0.965583819313459,1,2
49435,148,417,0.99404,0.98442,0.000507913289043295,6.03597440746851e-05,0.000711731813245305,0.000403722928196278,-0.0847426260117991,0.565478142346013,-0.144153695476877,0.241521661982768,1.2717159858875,1.04988838291264,1.2606831631823,1.04491565036332,1,2
49446,142,412,0.9943,0.984,-0.000365853658536585,0.000301719802876395,-0.00037492071260794,0.000396497150430173,-0.461782083971277,0.198715519680371,-0.145576669855582,0.242350488876359,0.876750553481855,1.04957537005479,0.859405994297049,1.06040112510701,1,2
49420,173,407,0.99354,0.98368,0.000101659076122316,0.000261690520764136,-0.000169147727702985,-0.000124960296479505,-0.347350796580874,0.250004439525184,-0.210545654513127,0.179694893916289,0.952492151002246,0.984693255275033,0.951027174014267,0.97452643778618,1,2
49418,164,418,0.99352,0.98332,-0.00020339258837408,0.000201304452854497,0.000390298411002512,-0.000507162702819986,-0.188583008366275,0.425758802015919,-0.253664165743415,0.131576055946846,1.12585330074119,0.94082934744109,1.1116531987903,0.927630245286844,1,2
49416,161,423,0.99318,0.98358,6.10016470444702e-05,0.000906180148613544,0.000182449972319793,0.0020604649703563,-0.253207773840356,0.365973373573396,0.0532485988009103,0.439085442976515,1.05800455513923,1.27911407109115,1.08606220368237,1.27549117332131,1,2
49441,160,399,0.99372,0.98452,-0.000182830211676756,0.000563539025077487,-0.000542306001290377,0.00116565322891655,-0.479718226935703,0.142747355302684,-0.0503252439926226,0.345104958555687,0.844566979186182,1.15851987929128,0.844549882321562,1.15294922927008,1,2
49399,151,450,0.99402,0.98254,-0.00042746351293586,-0.000643850224341563,-0.000454083544334022,-0.000351756014748405,-0.470058366483543,0.170623504503402,-0.224984272519065,0.14633452285591,0.860949718273461,0.96143860928342,0.849246906533052,0.952923372113449,1,2
49426,162,412,0.99382,0.9832,-0.00048820179007323,0.000342114266164899,-0.000171652761830384,-6.363494478252e-05,-0.361449323825067,0.255951585624402,-0.201702224314224,0.186193853518403,0.948624834202976,0.992267861172197,0.922546125442919,0.987918327825074,1,2
49416,166,418,0.99322,0.98358,0.000162671058785254,0.000120819153863192,4.82639114545747e-05,-0.000398499677690197,-0.290329630315024,0.31922880778875,-0.240499571332619,0.144657591820795,1.01457009333859,0.953215027331859,1.0139517106441,0.943692139907014,1,2
49441,150,409,0.99398,0.98354,0.000101673546576652,0.000402422583955412,-0.000558397805314717,0.00108654151367006,-0.507672587417861,0.136234967266454,-0.0613329468892002,0.32877517243919,0.830510415864421,1.14307084955285,0.806159544755276,1.13231376871498,1,2
49444,166,390,0.99364,0.9843,0.000325104134918216,0.000342176240892074,0.000420683918542955,0.00123855233024691,-0.179026834767173,0.43160027557776,-0.0400520241801038,0.35967950983772,1.13461226425692,1.17329222781113,1.18043513823,1.15725234214127,1,2
49412,162,426,0.99358,0.98348,0.00036604709805995,8.05169186175245e-05,0.000633636421686235,-2.53834740462248e-05,-0.114817791416474,0.505181203841632,-0.193736795879915,0.187746348015813,1.21553183161254,0.997009255142869,1.26723329220885,0.99239951732452,1,2
49396,147,457,0.99372,0.98264,0.000386713343645689,-0.000422654268808115,0.000376857802926293,8.46173139607117e-05,-0.196856453042681,0.451954249095524,-0.174908878748111,0.193524192730185,1.13603258443028,1.00935958539039,1.15565258942331,0.987016400937196,1,2
49420,174,406,0.99366,0.98348,0.000101679749461097,0.000342169353702474,-0.000400225377342582,0.000587905103904508,-0.413084028305097,0.183726513376156,-0.12265890585228,0.268146564467616,0.891654117460569,1.07545562091017,0.899923533002203,1.06989771442314,1,2
49419,166,415,0.99356,0.9829,2.03479499440431e-05,0.000342203792423205,-1.03975069905136e-05,-0.000145131994638624,-0.307881866499502,0.301641937136445,-0.210813224578937,0.175659642583358,0.996888637465654,0.982579231186243,1.00846759221525,0.982500865232615,1,2
49429,139,432,0.9941,0.98284,-6.10475764112165e-05,-0.000482848807967005,-0.000692263504540084,-0.000979706135462044,-0.584256626631345,0.0866789526447083,-0.303898952059457,0.0755285846258529,0.779744718939095,0.892097926931182,0.776966126220344,0.886281644105948,1,2
