"Y","ace.diff1","ci1.L","ci1.H","ace.or1","betaE","betaU"
964,-0.00831900316014081,-0.208819990482117,0.14214482799209,0.967229394242031,1,2
960,0.004160066561065,-0.158797854643627,0.192155125118711,1.01680672268764,1,2
975,0.0226057870814928,-0.084902178158614,0.266001647561562,1.09471443179401,1,2
1021,0.00948092557848655,-0.137469558647497,0.213395430984495,1.03867015480292,1,2
1003,-0.000982035353272743,-0.179267336530083,0.171406125853249,0.99607952730757,1,2
995,0.0148633770393354,-0.11593597826667,0.234929236150423,1.06126237623762,1,2
1017,0.0153109607512834,-0.114100899769238,0.236716686401117,1.06318266253846,1,2
1007,0.00183997334590003,-0.168019490060518,0.182747814298814,1.00738741127273,1,2
949,0.00533790210545581,-0.154159796635905,0.196995416976304,1.02163812395832,1,2
999,0.0140240626866299,-0.119245697990987,0.231518003950032,1.05770346862922,1,2
1026,-0.0204212278343255,-0.257262061193541,0.0936465402428307,0.921499567434993,1,2
996,-0.011961196119612,-0.22323355941752,0.127476985014671,0.953278877443002,1,2
988,-0.00337524360910837,-0.188944828585984,0.161917595543845,0.986587752374589,1,2
1019,-0.00945695329772342,-0.213308097386181,0.137580564794121,0.962864857004818,1,2
1031,0.00884344687277028,-0.140054252613835,0.21092714157466,1.03604364229536,1,2
1007,-0.046972751564025,-0.363690636148206,-0.0126269650550666,0.828583106472716,1,2
983,-0.015983015983016,-0.239377459661535,0.111383559109576,0.938046305376945,1,2
993,-0.00295810649183369,-0.187181301984047,0.163500474564091,0.98823669768552,1,2
1015,-0.0355861196110159,-0.318122194566781,0.0330476974314882,0.867237463396209,1,2
1022,0.0135654261704681,-0.121101083035165,0.229747797274818,1.05579144860234,1,2
1007,0.0150140600562402,-0.115254873935395,0.235459535398007,1.06190421215818,1,2
1007,-0.0232141999327472,-0.268394616413516,0.0825151635153346,0.911303829123503,1,2
1019,-0.0127738394328784,-0.22653834689226,0.124242386603483,0.950168160997744,1,2
1018,-0.0114357101672113,-0.221245945114006,0.129674722095764,0.955272090865403,1,2
984,-0.045016045016045,-0.355882235399282,-0.00481470154141325,0.835076021264072,1,2
1014,-0.0257044409494195,-0.278371346610603,0.0725241686960606,0.902254180220998,1,2
993,-0.0170570916538658,-0.243651032716576,0.107085946769003,0.9340377148338,1,2
976,-0.0025292241444859,-0.185558843514007,0.1652948204,0.989928286852631,1,2
1075,0.0264016897081413,-0.0695988874007516,0.282184428135126,1.11207335646772,1,2
999,0.0459961499037475,0.00871209796367533,0.35975362121689,1.20215360948755,1,2
966,0.00381467297439364,-0.160261594572196,0.190821695861868,1.01539356621608,1,2
994,0.0108567854909318,-0.131943108539211,0.21885797549002,1.04438717067584,1,2
1006,-0.005859375,-0.198842070429995,0.15193626465407,0.976833976833974,1,2
984,-0.005176626371791,-0.196094717146098,0.154642237022912,0.979500990099024,1,2
997,0.00694277711084432,-0.147583386751795,0.203162018062618,1.02816101282259,1,2
1049,-0.0257434025401172,-0.278948987560929,0.0723524989844846,0.901912489194179,1,2
969,0.0408667918912888,-0.0118034233365712,0.3394787832957,1.17789326484096,1,2
1001,-0.0140101348209205,-0.23143744800256,0.119276880004343,0.94549727077846,1,2
1049,-0.000833240806593071,-0.178916999417826,0.172222105263177,0.996664584535466,1,2
