"AllY1","AllY2","AllY3","ace.or1","ace.or2","ace.cond.or1","ace.cond.or2","betaE1","betaE2","betaU1","betaU2"
48967,249,784,1.99102222927167,3.16886906385134,0.865473443793379,1.46971402033665,1,1.25,2,2
49006,245,749,2.5842550934203,2.48384048935045,1.08523813341429,1.11900949268889,1,1.25,2,2
49030,228,742,2.14994418867366,2.67006369375715,0.967710538019254,1.18693588051701,1,1.25,2,2
48959,261,780,2.35354914380035,2.66749938062598,0.989892705083244,1.14226078247187,1,1.25,2,2
48969,224,807,2.47742327137288,3.07379670352254,1.1696373671974,1.39351858785524,1,1.25,2,2
48910,276,814,2.88194415804017,2.56710992228788,1.34033218711022,1.18286288621855,1,1.25,2,2
48963,238,799,2.27854787104228,3.07923515036037,0.978530069422844,1.40657417022308,1,1.25,2,2
48939,245,816,1.99527929901424,3.00755599472991,0.840787622595173,1.34106465726828,1,1.25,2,2
48945,233,822,2.03169430618485,2.37554084675975,0.847543294015264,1.10733734539438,1,1.25,2,2
48961,262,777,2.22137140623512,2.71454159310649,1.00654122726811,1.29793858316239,1,1.25,2,2
49014,218,768,2.82261577046035,2.96571665882315,1.32422323479368,1.34068756397768,1,1.25,2,2
48975,257,768,2.57033936989013,2.80059325989169,1.21093395678872,1.17335806229685,1,1.25,2,2
48954,244,802,1.84304571361043,2.7359745987588,0.738393034651351,1.20758029353828,1,1.25,2,2
48966,255,779,1.77686042797828,2.57550960978451,0.837594146276289,1.16846918088847,1,1.25,2,2
48966,227,807,1.95509403334107,2.74795233811881,0.912512603000523,1.25917545334822,1,1.25,2,2
48960,258,782,2.05877476219565,2.76080906807846,0.994442018174897,1.32455614468438,1,1.25,2,2
49033,223,744,2.14069647640635,2.57843030597188,0.974107307938417,1.22309961060318,1,1.25,2,2
48977,266,757,2.58892411578211,2.56276063086674,1.44807361897411,1.1098941247693,1,1.25,2,2
48990,255,755,1.72654031838722,2.60855519347882,0.822858098797949,1.190678761919,1,1.25,2,2
48981,227,792,2.99277892817031,2.54073975652204,1.51806045714161,1.12547539476556,1,1.25,2,2
48985,233,782,2.16306177334602,2.77860460866109,0.998933950431483,1.33828668694958,1,1.25,2,2
48989,262,749,2.412051769,3.13974248168212,1.07912044281635,1.51597389121556,1,1.25,2,2
48968,259,773,2.03751468657129,2.74501937300828,0.912957960895849,1.25531512318353,1,1.25,2,2
48983,237,780,2.74308376750687,2.92695668762703,1.21547554732078,1.39078023050639,1,1.25,2,2
48959,238,803,2.02908640616401,2.90272853729001,0.860370155519385,1.32279037468389,1,1.25,2,2
48957,257,786,2.47280215550423,2.65504012058878,1.17021276276973,1.22629923357482,1,1.25,2,2
48919,258,823,2.26622240561172,2.74043118530162,1.09338938033379,1.211333348142,1,1.25,2,2
48949,246,805,2.14972374509128,2.51165457281249,0.960800205122631,1.0408200288015,1,1.25,2,2
48952,235,813,1.99257500103593,2.26334655946981,0.956015993734375,1.04381936522863,1,1.25,2,2
48962,249,789,2.13267053300193,3.06917601867892,0.897808177390868,1.44058249523138,1,1.25,2,2
48972,230,798,1.9536959119224,2.66864405481283,0.957345196209773,1.23037076225815,1,1.25,2,2
48960,253,787,2.44974584039332,2.87520517384002,1.06807753906499,1.3400431585244,1,1.25,2,2
48974,243,783,1.51939544131534,2.71293112575387,0.789278300343292,1.31440327171957,1,1.25,2,2
49012,225,763,2.31937013760718,2.484182227413,1.12704339135015,1.16395111194597,1,1.25,2,2
48959,260,781,2.0764766214178,2.76030877192982,0.979496168264226,1.17858090509986,1,1.25,2,2
49008,226,766,1.84597356755869,2.67804645417517,0.866048719899644,1.21832292687784,1,1.25,2,2
48990,240,770,2.236653947806,2.99432804936629,1.22850457900048,1.38293309973058,1,1.25,2,2
48958,249,793,2.17254205336427,2.48683144651572,0.976395568420208,1.14994467395551,1,1.25,2,2
48970,242,788,2.11378799129848,2.87545582563081,1.07924906950311,1.31760269777169,1,1.25,2,2
49011,239,750,2.03851208927464,2.70855608857643,1.02206905468707,1.26873423001492,1,1.25,2,2
48962,261,777,2.43354501875402,2.93804270756039,1.18454020280634,1.38294202700947,1,1.25,2,2
48957,255,788,2.16096249943273,2.69520220954261,0.923449988572465,1.23296129179745,1,1.25,2,2
48952,239,809,2.42298156983815,2.52645852908516,1.10686816964411,1.10315186938366,1,1.25,2,2
49001,258,741,1.847263997264,2.87822673525799,0.737528618375052,1.26584256026623,1,1.25,2,2
49011,231,758,2.24366884674976,2.83464275430875,0.961443137598937,1.31397330130812,1,1.25,2,2
48993,256,751,1.88594139879642,2.74169900374284,0.86960745429937,1.22862147432792,1,1.25,2,2
49038,228,734,2.10422801275943,2.79230098742092,0.993389143700641,1.27583568222651,1,1.25,2,2
48935,264,801,2.00533066691773,2.96503860337237,0.923977502575135,1.35606486059766,1,1.25,2,2
48942,247,811,2.23192207578764,2.784736108448,1.04942410969888,1.25208871200376,1,1.25,2,2
48991,233,776,2.56912828145705,3.17565073088244,1.1993253678695,1.4065036919666,1,1.25,2,2
48973,238,789,2.12057774421022,2.77820591339142,0.974583079976723,1.33919266240759,1,1.25,2,2
48970,256,774,2.11244732228532,2.68669478120081,1.02550042285422,1.17082846887109,1,1.25,2,2
48994,247,759,1.93757514860235,2.60600656832537,0.794404812629485,1.1738417330863,1,1.25,2,2
49014,226,760,2.24024172856967,2.79565821019682,1.01240373158487,1.20841089622018,1,1.25,2,2
48926,274,800,2.56554936657378,2.5771973251292,1.29089063885719,1.12700550217977,1,1.25,2,2
48941,261,798,2.56777209399043,2.55696800383339,1.2380550770027,1.14524625932338,1,1.25,2,2
48986,219,795,2.16255989370521,2.96282216402102,1.09225000848227,1.3487883276642,1,1.25,2,2
49023,228,749,2.54760006832546,3.03153101721341,1.22063912321352,1.45531429699709,1,1.25,2,2
48970,258,772,2.31200301649988,2.73073450190374,0.988781487251049,1.29159543100396,1,1.25,2,2
49016,228,756,2.20541791846686,2.7731766184292,1.02573403368422,1.23880729735968,1,1.25,2,2
48986,258,756,2.19795582304224,2.77095232771234,0.998309893873604,1.28319588518723,1,1.25,2,2
49008,221,771,1.99150629514964,2.76907775660872,0.912521217683674,1.16823563484287,1,1.25,2,2
48971,247,782,1.91908501999373,2.90445372591184,0.807074429031997,1.33428586577074,1,1.25,2,2
48994,250,756,2.52361426181802,2.42437100433079,1.21634005092888,1.07804417192185,1,1.25,2,2
48963,255,782,2.1286758781223,3.14772080367234,1.05482774181342,1.39129048075834,1,1.25,2,2
48995,239,766,2.74273998728544,2.82263612056393,1.30179905743591,1.25843922667353,1,1.25,2,2
48982,221,797,2.56888070212036,2.34911899125532,1.08216995789881,1.02431182209465,1,1.25,2,2
48996,228,776,2.59746424461614,2.48230295723967,1.3352888438625,1.22118539568733,1,1.25,2,2
48966,251,783,2.11909412661858,3.26374185389987,0.953708458602213,1.56628184898227,1,1.25,2,2
49008,235,757,2.34265737088552,2.84312058982523,0.985810835994111,1.28451952705554,1,1.25,2,2
49020,239,741,2.02350247015233,3.12706581191554,0.850122581483161,1.37907281116285,1,1.25,2,2
49043,228,729,2.44898894714947,3.37704676015466,1.24186451357288,1.79198885986783,1,1.25,2,2
49007,255,738,1.99656266652125,2.97234716500237,0.931720206701006,1.38858418502125,1,1.25,2,2
48967,278,755,1.92623711295884,2.85192433042487,0.875442126206781,1.3629703120034,1,1.25,2,2
48934,274,792,1.90854792266557,3.1222889905728,0.873904048456513,1.4172167100386,1,1.25,2,2
49040,253,707,2.04066278610352,3.20397552925713,0.868048183148363,1.50364972993142,1,1.25,2,2
49024,229,747,3.01001731387583,2.79227512573172,1.31926278695429,1.21421726889073,1,1.25,2,2
48981,240,779,1.80629260753475,2.76491514090813,0.788267519261581,1.28739387711053,1,1.25,2,2
49011,244,745,1.57299696332633,2.43486016436262,0.758423116317644,1.06331362204183,1,1.25,2,2
48990,245,765,2.35112349426817,2.83349172910368,1.04013131613886,1.36101747017726,1,1.25,2,2
48933,278,789,2.25276219494493,2.75711769834418,0.96767879705099,1.35415651905274,1,1.25,2,2
48955,251,794,2.45475825577233,2.62783702818282,1.25591732303108,1.23228035988234,1,1.25,2,2
48979,254,767,2.66194839883765,2.73966543883732,1.24187701213565,1.20141412408713,1,1.25,2,2
48965,260,775,1.76639045711164,3.00433850010592,0.723003910280373,1.37379852605986,1,1.25,2,2
48974,233,793,2.06203437697814,2.58539125911582,0.997776053478268,1.11956782015433,1,1.25,2,2
48980,243,777,2.25320992710296,2.71592267999017,1.01698914152627,1.27344631535002,1,1.25,2,2
48988,239,773,2.4298335838191,2.64805524524069,1.20839793723318,1.14239888966593,1,1.25,2,2
49029,241,730,2.3559515214262,2.71564579900435,1.08978089994092,1.23692184818556,1,1.25,2,2
48941,253,806,1.91300309597523,2.60235839663943,0.897007537959977,1.22008527668171,1,1.25,2,2
48949,253,798,2.06546559335033,2.59835290436447,0.996309939996186,1.21141227160305,1,1.25,2,2
48987,242,771,2.56596627336889,2.94168986194915,1.21901519777022,1.30014505143577,1,1.25,2,2
48976,222,802,2.93209442578128,2.98881922613674,1.1817614615446,1.42198002403237,1,1.25,2,2
49015,222,763,2.44024974287463,2.78701925388712,1.03262041514994,1.31664062349846,1,1.25,2,2
48944,246,810,2.46897287622195,2.47005055971222,1.07899443719864,1.12804391954963,1,1.25,2,2
48998,254,748,2.01635026683013,2.66827301639754,0.848297943913244,1.2352857021752,1,1.25,2,2
49014,251,735,2.52002051864938,3.343232161172,1.24397108966252,1.5142871140865,1,1.25,2,2
48987,250,763,2.11083885824143,2.3888689588773,0.93102098796373,1.10552375600169,1,1.25,2,2
48957,266,777,2.56822228663713,2.72014529514242,1.09364631036466,1.19277030955376,1,1.25,2,2
49051,209,740,2.06462127606812,2.55114222064192,0.990469014191716,1.17342401660661,1,1.25,2,2
48949,265,786,2.07404400031687,2.84679961506473,0.988031014241867,1.28577541875168,1,1.25,2,2
48936,238,826,2.01363439395815,3.0099022980369,0.924562849000468,1.32677244515912,1,1.25,2,2
48928,260,812,1.98254799955088,3.04298065047345,0.838887698261706,1.42529932275384,1,1.25,2,2
48971,249,780,1.83356845849964,3.18928132766608,0.947954305481359,1.40571498244112,1,1.25,2,2
48944,228,828,2.53135505291554,2.6975737414945,1.12326677384098,1.27077938292901,1,1.25,2,2
48986,255,759,2.28403246300603,3.11383040297809,0.95016660653254,1.46091275775255,1,1.25,2,2
48987,249,764,2.58658633397999,2.90947368421053,1.17787537396863,1.33645493868913,1,1.25,2,2
49006,214,780,1.90521889379243,2.45328406456179,0.820606473611503,1.170042949823,1,1.25,2,2
48960,249,791,2.36594059405941,2.74965300268345,1.02226326724183,1.31976794548239,1,1.25,2,2
48983,288,729,1.99225722319573,2.74705570724153,0.89048301871121,1.27821788521258,1,1.25,2,2
48987,256,757,2.04613676787565,2.75027761069959,0.950786294479907,1.20769132130645,1,1.25,2,2
48986,236,778,2.05433730995185,3.24409344141671,0.942179601794744,1.41287156889489,1,1.25,2,2
48950,250,800,1.57860903752678,2.52629261797173,0.716497684608526,1.19003912988836,1,1.25,2,2
49038,201,761,2.12013984291358,2.49180205802327,0.87139577969493,1.04260257265015,1,1.25,2,2
48985,235,780,2.17564462037495,2.84167175082347,1.00422843761804,1.22225799788076,1,1.25,2,2
48978,236,786,2.03414332603252,2.68387028232375,0.915850669613222,1.26256399693235,1,1.25,2,2
48975,264,761,2.45379324095305,2.87296469477004,1.23969975214076,1.31433723400642,1,1.25,2,2
48956,244,800,2.56687806275646,2.60250004403553,1.03554012697779,1.19835277335727,1,1.25,2,2
49012,245,743,2.48819032616753,2.83350479994629,1.03273054659655,1.29199571290452,1,1.25,2,2
49014,213,773,2.65832482374152,2.51187002883968,1.23830322226339,1.17570737068799,1,1.25,2,2
48979,243,778,2.3498778142203,2.80187030298638,1.06627452085,1.28471333724448,1,1.25,2,2
48975,232,793,2.86099120876445,2.5764164626711,1.26447181286073,1.19511188319143,1,1.25,2,2
49013,227,760,2.18686593457816,2.40024611626209,1.03020993105464,1.08595714565486,1,1.25,2,2
48945,228,827,2.49550511293404,2.54602616748025,1.04036401719142,1.22843521176581,1,1.25,2,2
48937,250,813,2.44565670264645,2.87779016934428,1.17573740902626,1.35089969830944,1,1.25,2,2
48941,275,784,1.86542169085088,2.82566015163524,0.787691322582802,1.24903637059188,1,1.25,2,2
49047,212,741,2.03345775641848,2.65663009459238,0.951871431810211,1.19506180723093,1,1.25,2,2
49022,231,747,2.94922904968872,3.21016512645084,1.33865350098097,1.40903594424476,1,1.25,2,2
48961,240,799,2.20665618687939,3.25517715117236,1.14862698970808,1.52231084251859,1,1.25,2,2
48972,226,802,1.96116070427394,3.42812933758054,0.901250275276272,1.61605930089992,1,1.25,2,2
49051,244,705,1.68585980508387,3.04387176225669,0.667929104877619,1.48946904072543,1,1.25,2,2
49028,238,734,2.54610951008646,2.89536641670564,1.35671775517879,1.27906025688286,1,1.25,2,2
48994,245,761,2.668672837433,2.97687893789379,1.33156788356522,1.3010808522137,1,1.25,2,2
49003,217,780,2.20808679566454,2.88747012584016,0.974592354458135,1.33128595490588,1,1.25,2,2
48975,205,820,2.02766457888002,2.49049287877283,0.798505109088412,1.17860322570792,1,1.25,2,2
49012,242,746,2.06252934393147,3.22630288436207,0.927126199289827,1.53572547729318,1,1.25,2,2
48956,253,791,2.2985151065955,3.06826891025882,0.987806319502276,1.51041835878294,1,1.25,2,2
48978,246,776,2.34932526746305,2.85302125074373,1.01245287532115,1.34596391123293,1,1.25,2,2
49089,205,706,2.39601975918659,2.61000517204648,1.15198973471522,1.2853073829874,1,1.25,2,2
48987,222,791,2.1707116850341,2.99598406925895,0.83723563280171,1.44007320289299,1,1.25,2,2
48955,229,816,2.04992524909735,2.15312210467482,0.894894299387439,0.981749514764549,1,1.25,2,2
49018,256,726,1.87082072004201,2.98777614993613,0.830109767896747,1.33607367085838,1,1.25,2,2
49032,244,724,2.41849875732494,2.56308739545429,1.04412614490578,1.20044040836689,1,1.25,2,2
48973,256,771,2.39341014083777,2.80873719468903,1.02991920506043,1.29231817778593,1,1.25,2,2
49008,258,734,2.45919672578267,2.59313218674541,1.07288345385777,1.01858366581904,1,1.25,2,2
48960,244,796,2.31690009668349,2.77822293502424,0.971190848435577,1.35134631339602,1,1.25,2,2
48993,251,756,1.88222923681257,2.80585037774093,0.882258580901741,1.33555303080052,1,1.25,2,2
48979,251,770,2.07677338148197,2.7957769515414,0.932858288441554,1.22218797098941,1,1.25,2,2
48984,225,791,2.01128480347235,2.89429902140896,0.921183379748446,1.31371350206951,1,1.25,2,2
48994,249,757,2.23258820770562,2.58400396100901,1.07896371257463,1.17685424068297,1,1.25,2,2
48999,238,763,2.01514657980456,3.01340211317269,0.921119191857024,1.28826600435132,1,1.25,2,2
48943,227,830,1.93105504408352,2.75160959813339,0.897548351625687,1.27330711077165,1,1.25,2,2
48989,244,767,2.28847068504423,2.97907426455462,0.895990961700038,1.32780814064787,1,1.25,2,2
48978,242,780,2.09042966382257,2.62859518130209,0.923846328361676,1.13550157738997,1,1.25,2,2
48971,260,769,2.08616278282403,3.04511469296442,0.946260289936561,1.36382086393216,1,1.25,2,2
49039,214,747,1.88281783551207,2.70411046520063,0.758802643140446,1.1891098109038,1,1.25,2,2
48945,281,774,2.00427998798783,2.78562176783772,0.943436571837266,1.31509252288403,1,1.25,2,2
48981,238,781,1.99779158110883,2.84218079831722,0.903161747044707,1.27814310909045,1,1.25,2,2
49016,210,774,2.10286153441887,3.05551631793301,0.808397264318133,1.3972460548407,1,1.25,2,2
48956,266,778,1.95542168674699,2.60580508960479,0.882949307233182,1.12869547065788,1,1.25,2,2
48970,261,769,1.84010988937927,3.01914200830131,0.871885315841588,1.52807954131465,1,1.25,2,2
48930,264,806,2.14567828121511,2.68034299359601,0.955745835637262,1.22407431464106,1,1.25,2,2
48965,255,780,2.39344101811062,2.27108724057415,1.05220322408217,1.05329281204592,1,1.25,2,2
48971,266,763,2.39089260171967,2.98306763058481,1.07967838321146,1.32678858812888,1,1.25,2,2
48967,263,770,1.58728843165364,2.48231979675764,0.732385619544982,1.121543676345,1,1.25,2,2
49013,243,744,2.17783882783883,2.58352201257862,1.07381269866924,1.11411053007567,1,1.25,2,2
49020,233,747,2.42619377919252,2.95068250680188,1.2392503328901,1.32714149118336,1,1.25,2,2
49026,238,736,2.05195630001815,2.78946305306237,0.852497707536554,1.24684901998523,1,1.25,2,2
48977,255,768,2.52233103624527,2.74012347141909,1.02883398068096,1.27524867138141,1,1.25,2,2
48908,269,823,2.16017190329721,2.76528496346718,0.909846235826681,1.17306850574739,1,1.25,2,2
48969,241,790,2.76818877826559,3.0774064506878,1.36756723319071,1.36220807795495,1,1.25,2,2
49007,234,759,2.01222345115381,2.62896399642794,0.900405322061299,1.19628160241554,1,1.25,2,2
